userName;score;at;content
Enjang Sukarna;1;22/03/2023 01:12;Saya sering kehabisan BBM di tengah jalan... Tersiksa.. Buka Aplikasi My pertamina sulit tnya setengah mati, sudah bisa masuk diarahkan harus unduh link. Dari salah pun dsb pokoknya mumet aja kepala kalo sdh mu coba apl my pertmina harus ke link
Khalid Jamhari;3;22/03/2023 01:04;Cukup baik
Baso Rajiman;5;22/03/2023 01:03;Good Job
Hakiem Hakiem;1;22/03/2023 01:02;Tidak semua orang bisa pakai dan tidak semua SPBU konsumen beli pakai barcode..
hasan albasit;5;22/03/2023 01:02;Josss gandos
Azzahra Mutiara Hati;1;22/03/2023 00:55;Aplikasi tidak berjalan baik selalu gagal masuk
Tundung Suryadi;5;21/03/2023 23:57;Pelayanan mudah
Abubakar Sirih;5;21/03/2023 21:27;Bagus sekali
SKB Kencanacuan;1;21/03/2023 18:58;Kok Jd ribet banget sih . Ini sama sekali gak ngebantu masyarakat. Apalagi yang gaptek dan gak punya android. Tolong lah Pak kebijakan ini sebaiknya di tiadakan . Karena sangat sangat tidak membantu masyarakat mu pak.
Marno Bin Margo;1;21/03/2023 18:56;Aplikasi buruk, useless bgt, tujuan aplikasinya apa yg didata apa, ga sinkron, udah gitu bayarnya jga ribet cma link doang bsanya, hufftt payah, masa.pertamia kek gini kinerjanya, gajo n fasilitas pgawai doang dbesarin, layanan 0 besar, merugikan negara aja ktjaan org ptamina ini, kbesaran cost drpd benefit
Monang DMK;5;21/03/2023 17:16;Bagusss
Ride MyDream;1;21/03/2023 17:07;Parah susah banget pakenya
Istahal Wafa;5;21/03/2023 15:35;Tolong dipermudah aplikasi my Pertamina biar CPT beres.
Yatna Su;4;21/03/2023 15:17;Aplks mudah dipahami, cuma sulit mendapatkan rekomendasi
Daniel Marpaung;5;21/03/2023 15:13;Ok ok ok
fikri banaji;1;21/03/2023 15:13;eh pertamina!! klo di spbu mw operan sift itu jgn lama2 sampai 15 menit ngaco emng g da sistem yg lebih praktis apa?!
Maya Jeresti;5;21/03/2023 14:56;Top
Redy Sansai;3;21/03/2023 14:46;Mayan
Fabio Fanya;2;21/03/2023 14:40;sekelas negara.. Dipermalukan sama apk ini.. Ratingnya sekitar 2.9
Fahmi Nurfaozan;5;21/03/2023 14:39;Barkot saya ga bisa d gunakan
Esra Ginting;1;21/03/2023 14:26;App gak berfaedah Gak jelas tujuannya apa Salah urus Kalo gak sanggup, nyerah aja ngelola nya Gak usah sok buat sisitem pembodohan seperti ini
Dedi Maha;1;21/03/2023 14:22;Aplikasi banyak bug nya, koneksi eror, daftar verifikasi susah, pas pembayaran lama, nyusahin aja ni aplikasi
Andrian Subakti;1;21/03/2023 14:10;Apk penyusah, gampang menurut anda tidak untuk kami.
Supriyadi Yadi;5;21/03/2023 14:07;Berikan solusi y
Sunardi Nardi;1;21/03/2023 13:01;Aplikasi tidak jelas kode Verifikasi tadi dikirim ke email
Spartan Jajam;5;21/03/2023 12:37;Fixed bugs,terutama metode pembayarannya
H E S A;1;21/03/2023 12:24;1. Force close melulu 2. Ada fitur kamera utk foto kendaraan. Tp tidk bisa digunakan. -pilih menu upload gambar malah fc lg. 3. Call center yg disediakan tdk merespon 4. Tiap kalai ke pom bensin harus nunjukinbarcode. Tp mau bikin barcode di apk ini aja susahnya minta ampun. 5. Ditawarin buat bikin di pom aja. Terus buat apa ada apk ini? Heran
win joe27;1;21/03/2023 12:21;Aplikasi telek. Udah 1 bulan kode perivikasi g ada muncul ke email. Coba daftar pake email lain bilangnya plat dan nik sudah terdaftar. Tapi sampai sekarang kode perifikasi tak juga muncul. Notifikasi masuk di layar hp, dibuka malah hilang. Kirim email ke customer servise sudah 1000 x, tapi selalu di php in doang. Alias gak dibalas. Hadegh. . . Mau beli cash padahal bukan hutang, malah sulit.
Bocil Mbul;5;21/03/2023 12:05;Pemerintah bikin lucu2 an.,
Karyono A;1;21/03/2023 11:40;ribet bgt mau beli pertalite, kok gini bgt ya rakyat cilik
Adi Wirawan;1;21/03/2023 11:12;Gimna kalau mati lampu pada saat ngisi BBM dan gimna masyrakat yg belum punya hp android yg ingin ngisi bensin. Cuman menyusakan masyrakat
Arlina Gea;4;21/03/2023 09:28;Lagi coba
Imam Susanto;5;21/03/2023 09:18;Sangat membantu
Wahid Suseno;1;21/03/2023 09:16;Masih banyak kendala dalam aplikasi. Untuk metode pembayaran lebih ditingkatkan dan lebih banyak variasi
reza ginanjar;1;21/03/2023 09:08;"Aplikasinya membagongkan dari opsi bayar sampai batasan pengisian BBM .beberapa keluhan seperti ""operator SPBU lebih maksa pembayaran dengan cash ketimbang qris my pertamina"". Padahal kan kita customer boleh membayar sesuai permintaan mau cash atau qris.niat kumpulin poin tapi kehambat perkara operator SPBU di beberapa titik kota Medan."
Anggoro Kasih;1;21/03/2023 08:49;Sangat buruk sekali.
abdullah sabil;1;21/03/2023 08:31;Sudah mendaftar dari kemari belum ada verifikasinya
abdurahman aripin;5;21/03/2023 08:19;bagus puas
Ferdy Tambunan;5;21/03/2023 08:19;Ok bagus
Ahmad Ananda;2;21/03/2023 08:13;Baru menggunakan
dzul fiqar;1;21/03/2023 07:58;Aplikasi ini bukan meringankan tetapi merepotkan pengguna karena Pembayarannya harus pake link aja walau pun ada yang lain tetap harus pakai link aja. Intinya percuma aja menyediakan berbagai macam pembayaran tapi ujung ujungnya harus pake link aja
seno adji;5;21/03/2023 07:57;Bagus
Syafaruddin maros;5;21/03/2023 07:36;Sangat baik dan membatu konsumen
Ulya Ahmad Firdaus;1;21/03/2023 07:30;Astaga, tolong lebih di benahi lagi ya sistemnya kami selalu konsumen BBM turut prihatin dengan sistem pembelian dan dalam registrasi cukup berbelit-belit
Mika Ika;5;21/03/2023 07:27;Bagus tapi barkot nya belum muncul.
As Nawi;4;21/03/2023 06:58;Ternyata subsidi belum tepat sasaran,nyatanya saya pemilik mobil pick up l300 tidak bisa beli BBM subsidi ,sedangkan mobil mewah masih ada yg boleh beli solar subsidi
Manangin waruwu Waruwu;1;21/03/2023 06:51;Untuk masuk/daftar di my pertamina payah Kali. Gak nanti di daftar salah juga sama pemerintah
Sasongko Pribadi;1;21/03/2023 06:39;Aplikasi BURUK & SANGAT BURUK
Yuma kun;1;21/03/2023 05:51;Tolong hapus lisensi ke link aja karena banyak kendala ketika harus log in atau pun reset ke link aja Mending langsung pembayaran mobile aplikasi lain atau banking ga usah harus sambungkan ke link aja Kl udah ga prioritas link aja saya kasih *5
Mursalin Mursalin;5;21/03/2023 05:42;Lebih teratur dalam mengunakan supsisidi
Erizoes tv;1;21/03/2023 05:37;Aplikasi payah, susah di mengerti, minta tolong sama petugas nya malah di suruh keluarin uang minum, klo gak di bayar gak mau di kasih tau, payah klo kek gini tolong lah di proses bener aplikasi nya.
Leonardo Daniel;1;21/03/2023 05:26;Bikin ribet bos
Rahmat Danial;1;21/03/2023 05:06;Aplikasinya bikin rakyat biasa pusing.
ibnu ari;1;21/03/2023 04:41;Tidak membantu
Uston Oematan;5;21/03/2023 04:24;Baik
Widodo Widodo;5;21/03/2023 02:29;Cepat tepat
Chornelius Elsandika;1;21/03/2023 02:20;Ra mutu
Zaskia Tiara;1;21/03/2023 02:06;Aplikasi taik... setaon dah di isi tp gak bisa@.. edit data kendaraan susahnya minta ampun... bakar aja pertamina !
Masrukin nikursaM™;1;21/03/2023 01:46;Verifikasi data lambat
Andi Bagascara;2;21/03/2023 01:46;Saya udah punya akun kenapa tidak bisa masuk lagi tolong dong
Abdul Salam;5;21/03/2023 01:24;Mantappp
NASRULLAH Erol;1;21/03/2023 01:11;jaman sekarang ini sudah susah di tambah aplikasi yang berbelit-belit jadi tambah susah... jangan di bikin ribetl dan belit-belit.. kasihan bagi masyarakat yang sama sekali tidak mengerti.
Fikri Maulana;1;21/03/2023 00:46;Aplikasi ribet beli solar aja di bikin ribet udh gitu elor mulu harap di hapus di play store
reba lomes kdi;5;21/03/2023 00:31;Mantap
RANIA Nata Dew;5;20/03/2023 23:26;Bagus
Hanafi;5;20/03/2023 19:46;Tidak dengan prosesnya rumitnya
Sutomo SH;5;20/03/2023 17:35;Masih tandatanya
Sahat Sitompul;5;20/03/2023 14:43;Good
AYS;1;20/03/2023 14:33;aplikasi dan aturan tidak jelas.
Suci Pebriyanti;3;20/03/2023 14:22;nambah pusing aja pake barcode
Agus Un Giyanto;1;20/03/2023 13:42;Aplikasi gaguna percuma bikin dari awal 2022 sampai awal 2023 belom juga bisa jelek
Verdot;1;20/03/2023 13:38;Selamat anda mendapat 0 poin, sekarang total poin anda adalah 0
Andri Noviansysh;5;20/03/2023 12:59;Pasang App MyPertamina
BANYU MILLY82;5;20/03/2023 12:21;Ok
Budi Hartono;1;20/03/2023 12:10;Ngga masok blas
Lika Oktasari;2;20/03/2023 11:38;Blom tau kelanjutan nya kalau bgus kita tambah
irwan kinas;5;20/03/2023 11:37;Muantappppp
RUSTAM DJAKBAR;5;20/03/2023 11:35;Sangat efisein, hanya saja UNTUK PENGGUNAAN DI SEMUA JENIS HANDPHONE BELUM MUTAKHIR PADA KEY WORT SCANE QR, TIDAK BERFUNGSI PADA HANDPHONE OPO DLL
Muhammad Arsyil;1;20/03/2023 11:24;Tidak pernah dpet koin setiap klime abis isi ulang bahan bakar 👎
Yusuf Sofiawan;1;20/03/2023 11:14;Aplikasi mempersulit umat.. Semoga yang mengagas hidupnya dipersulit.
Yusup Supriatna;1;20/03/2023 10:57;Ribet
rizki arini;1;20/03/2023 10:28;Tidak bisa edit data
Satria Navyka;1;20/03/2023 09:58;BUAT SEMUA KASIH BINTANG 1 AJA!! SUMPAH PAK, APLIKASI NGGAK MUTU BUAT MASYARAKAT, MALAH NYUSAHIN MASYARAKAT INDO. BELI BBM UDAH ANTRI PANJANG, APLIKASI RIBET AMAT LOGIN. SUSAH PAK KAMI, UDAH SUPIR MASIH DI RIBETIN BEGINIAN BELI SOLAR
G Franci Saragih;4;20/03/2023 09:48;LHari sabtu tgl 18 jadi kita bertemunya..sekitar jam 10 pagi pater...
Yusuf Jolodong;1;20/03/2023 09:35;Aplikasi tolol
Slamet Riyadi;5;20/03/2023 09:20;Top
rizal bhepe;4;20/03/2023 08:23;Bari mau download aja susah, abis itu liat komen gak ada yg puas. Payah pertamina.
Moko Ardan;2;20/03/2023 07:48;Ezzlzlz
Deny01uban Saputra;2;20/03/2023 07:09;Ribet banget my pertmina see seharusnya cukup cek plat langsung keluar barcot di alatnya SPBU. Bukan tiap ngisi buka hp keluarkan barkot😁
Aan Sugandi;5;20/03/2023 06:39;Belum memiliki barcode
evangelist nusry thebo the rossy;1;20/03/2023 05:45;Jelek sekali setelah di daftar login katanya salah
Ahmad Siregar;4;20/03/2023 04:33;BBM non subsidimm Mm .
Deka Aditya;1;20/03/2023 04:33;Rempong
Edo Nouris Oficial;1;20/03/2023 03:36;Buat aplikasi masih banyak bug dan kalo masih blm siap jangan coba cobalah malah bikin ribet aja
Ummu Raihan;5;20/03/2023 02:05;Semoga tepat guna dan semoga selalu ada BBM nya
Ikhsan Alhakim;5;20/03/2023 01:16;Baik
G Salsabila Sunduk;1;20/03/2023 01:06;Mohon untuk diperbaiki lagi aplikasinya, Ini sangat, sangat menyulitkan kami. Metode pembayaran yang hanya aktif linkaja, metode lain tidak bisa, lalu untuk apa kami d beri pilihan pembayaran lain tetapi tidak bisa kami gunakan..pd saat kami mau mengaktifkan linkaja kesulitan, kami tidak bisa memasukan datanya. Tolong untuk yang membuat ide kebijakan ini pertimbangkanlah kembali untuk kami yang didaerah, tidak semua orang melek teknologi. Semoga bisa lebih baik lagi kedepannya.
Hasan Nudin;5;20/03/2023 00:54;Terima kasih
koda embot;1;20/03/2023 00:45;Kenapa harus pakai linkaja sebagai pembayaran utama e-money di sini? Padahal masih banyak pilihan lain.
Irvan Setyoko;1;19/03/2023 23:46;Sudah mau seminggu tidak bisa di pakai aplikasinya, mau login saya tidak bisa.
Dadan Chandra H;5;19/03/2023 23:30;Bagus
Lampunk As;1;19/03/2023 23:08;Susah daftarnya. Blibet beneerr
Rasman Udin;5;19/03/2023 22:48;Mohon bantuannya setiap orang yg mendaftar agar di lulus verifikasikan data my pertaminanya dan d luluskan barcodenya
FACHRY CIVIL;1;19/03/2023 17:50;Sangat buruk.. yg buat aplikasi mgkin lulusan SD.. ribet log in nya..
Witjaksana;1;19/03/2023 16:56;Semoga cepat sadar
hanifa febrianti;1;19/03/2023 13:49;Kaga jelas hubungkan pembayaran gabisa bisa
Medy Two;5;19/03/2023 13:45;Sangat bagus
Aad Dastama;1;19/03/2023 13:30;Sangat butuk, no pol kendaraan di pakai oleh orng yang tidak bertanggung jawab, jadi ketika ingin mengisi pertalite, dinyatakan sudah habs di pakai oleh oknum. Terima kasih
FUSION GOKU;1;19/03/2023 13:13;Aplikasi sangat buruk , kalo ga niat colab ga usah colab su
Aman Disya;1;19/03/2023 13:02;Sangat buruk sekali jauh banget dibawah aplikasi bikinan tukang ojeg
Besse Asrika;1;19/03/2023 12:57;Assalamualaikum wr.wb Selamat malam semua Apk ini sudah menguji kesabaran saya.sata sudah menunggu selama 3 hari tetapi kodenya juga TDK masukmasuk.apakah ada kendala atau bagaimana, bagaimana caranya mau jalan mobil kalo tidak ada barcode dikasikan ki.tambah susah ji saja hidup kalo hegini
eboy geboy;1;19/03/2023 12:07;apk mengontolll
Galih Prawesty112;1;19/03/2023 12:06;Mau claim barcode ga bisabisa dibilang password salah padahal uda bener, lol
Dian Agusta;1;19/03/2023 11:51;aplikasi macam apa ini bukannya memudahkan malah mempersulit masa verifikasi data pengguna aja lebih dari 1 hari rusak kita rusak punya kita setoran ga ada
Ganna Podang;1;19/03/2023 11:44;Bikin rakyat susah!
Rahmat Hidayat;1;19/03/2023 11:21;Susah di akses
Dandy Alexandro;2;19/03/2023 11:21;Pembayan gagal terus padahal saldo ada, diulangi sampe 5 kali pun ttp ga bisa.
Arjuna 87;1;19/03/2023 11:07;Tidak bisa Login app abal abal
Sam One;5;19/03/2023 11:01;Aplikasi bagus walaupun data udah masuk akan tetapi barcode blm juga muncul
Bahrum;1;19/03/2023 10:59;Mengecewakan
Hariyanto;1;19/03/2023 10:50;Kenapa kode invalid terus. Susah 3x masuk di email masih gak bisa masuk. Invalid terus keterangannya
Syahrul Hakim 27;1;19/03/2023 10:40;Tdk bisa berkata kata
Ali Nurman Hidayat;1;19/03/2023 09:54;Isi bensin antri lama setelah harus scan QR, semakin modern bukannya semakin maju dan semakin simpel, malah semakin ribet
Mardhy Mamang;5;19/03/2023 09:37;Semoga makin berkembang..tradisi antri di sulbar daerah campalagian oleh pa lansir pertalite tidak terjadi lagi.yg meresahkan masyarakat..
kafin ari udaya;1;19/03/2023 08:53;Aplikasi sowak
Abdul Rahman;5;19/03/2023 08:44;Mantap
bungasam sipayung;1;19/03/2023 08:21;Ribet
rudiansyah putra;1;19/03/2023 08:00;Jelek kali aplikasi nya bolak balek daftar ga bisa. Padahal Poto nya semua udah jelas. Mau isi BBM aja dipersulit. Belik loh bukan mintak.oke lah mau maju negara Ini pake aplikasi tapi aplikasi nya juga tolong jangan buat ribet masyarakat pak
Hadrawati Duta;5;19/03/2023 07:43;Sangat baik
naina 2015;4;19/03/2023 07:39;Good
Tiara Chae;1;19/03/2023 07:35;Aplikasi gk jls nth dmn liat barcodenya uda d daftar pun d kotak katek pun nth dmn letaknya. Membingungkan
Bahar Bahar;5;19/03/2023 07:19;Bagus sangat membantu orang yg kurang mampu
Marsono Jauhary;1;19/03/2023 06:53;Ruwet bilang aja kalau belum siap. Pakai aplikasi ribet mau liat barkot sendiri sulit hadehhhhh
Herizal Rusli;1;19/03/2023 06:37;Aplikasi gak jelas.. tetap bintang 1 . Aplikasi penipu
Mr.BigBag Syahputra;5;19/03/2023 06:17;Mantap
Aluasa Jiko;1;19/03/2023 05:44;Cacat Dev amatiran
Waldi Suwandi;1;19/03/2023 05:19;Sulit
Rahmat Obuy;5;19/03/2023 05:14;Lancar
Tama Aja;5;19/03/2023 05:09;Semoga harga bbm bisa turun
Joe Cris;1;19/03/2023 04:35;Sulit untuk mendaftar ke menu subsidi bbm. Selalu gagal karena alasan foto stnk tidak bisa terbaca. Padahal sudah upload foto stnk dengan sangat jelas. Menyusahkan!!!
Zahra Laila;5;19/03/2023 04:34;Ok siip
Gecan Okah;3;19/03/2023 04:31;ýyy6
Rangga Hidayat;1;19/03/2023 04:29;sangat membagongkan
Pius Alfonsius;1;19/03/2023 04:10;Apaan begini , Sudah di instal , giliran untuk di buka aplikasi nya tidak bisa
Phy213n Setiawan;5;19/03/2023 03:51;Good jobs
IDUY CINEMATOGRAPHY;1;19/03/2023 03:44;Aplikasi ga berguna menyusahkan
Deddy Hidayat;5;19/03/2023 03:40;Terima kasih
Farial anugerah;1;19/03/2023 03:38;Ga user friendly
Vidio Animeku;1;19/03/2023 03:22;Pengen serba digital. Tpi aplikasi tidak mendukung. Ruwet
Iksan Arip;1;19/03/2023 03:01;Gak jelas anjeng Uda di masukin kode yg di kirim lewat email tetap gagal
Nasrii 123;5;19/03/2023 02:39;Ok
Hori Mandala;1;19/03/2023 02:31;Nyari duit dari jualan aplikasi
Agus Ady;1;19/03/2023 02:29;Rakyat susah ....aplikasi untung doble doble kalo per liter 5000 mah ga majalah...
Samudra JFA;4;19/03/2023 02:21;Semoga menjadi yg terbaik dalam pelayanan
Irsan Irwadi;3;19/03/2023 02:13;Sering error
Rista Kusumawati;1;19/03/2023 01:58;Astagfirullah ribet banget ini aplikasi nya.....fenomena rakyat kecil makin susah 🤐😥
Den Pray 105 news;4;19/03/2023 01:53;Baru mau coba
Sergio Eduardo;1;19/03/2023 01:45;Perusahaan kelas dunia tapi aplikasi nya jelek banget tidak user interface, aplikasi di buat cuma sekedar nya saja bukan untuk memutus penjualan minyak secara ilegal
Dir Man;5;19/03/2023 01:14;Mantap
Mukminin Minin;5;19/03/2023 00:46;Ok
Dahril;5;19/03/2023 00:21;Di Aceh barcode sudah berlaku, tp aplikasi belum update 😱
Erwinto Damanik;5;19/03/2023 00:13;Mantap
Seinalam 88;1;18/03/2023 23:32;Mungkin pertamina bisa bljr dr beberapa bumn yg relevan tidak ngasal bikin aplikasi mau log susah sms notif tdk muncul daftar bbrpa x gagal terus tolong di buat simple maju terus indonesia jgn nyusahin rakyat
samrop transport;1;18/03/2023 19:29;menghubungkan ke linkaja susah banget
Rambo Perdinan;5;18/03/2023 17:40;mantab
pengembara langit;1;18/03/2023 17:38;Isi Data belum selesai krna kendala jaringan, begitu mau daftr lagi sdh tdk bisa, nik sudah digunakan katanya
Teguh Teguh;5;18/03/2023 16:55;Oke gennn
Kurniawan Pambudi;1;18/03/2023 16:42;Plat nomor mobil saya dipakai oleh orang lain. Padahal mbl saya bensin tp terdaftar biosolar.
Akun Game;1;18/03/2023 15:35;Yang ga bisa log in, mending download yang versi lama cari aja di google, kalau versi skr pasti g akan bisa log in
Johanes Romaito nainggolan;1;18/03/2023 15:26;Ruuuweeeetttt
Eko Setiadi;1;18/03/2023 15:16;Saat hujan gak bisa.. malem Minggu di tanya bisa enggak ke petugas spbunya dari 2 SPBU yg berbeda gak bisa.. bisanya cash. Trus apa gunanya?
Dj Frenky;5;18/03/2023 15:03;Keren
Katiman;3;18/03/2023 14:56;Mohon untuk dapat mengganti nomor telephone, minimal 90hari sekali
Muji Lestari;1;18/03/2023 14:55;Ruweeetttt ribeetttt maraiii mumettt aee
Syach Arhi;1;18/03/2023 12:56;Perbaiki sistemmu bos. Password claim tidak mau terisi
eka Lukmana;1;18/03/2023 12:46;Bad Apps, Sy seorang IT saja merasa aplikasi ini sangat tdk membantu, rumit, apalagi org yg awam. Dari awal aplikasi ini muncul sy tidak pernah berhasil daftar, terakhir sdh hampir berhasil, muncul ket nopol sdh digunakan, padahal pendaftaran sy tdk pernah berhasil. Sy ajukan komplain ke call center 135 diarahkan utk mengisi g-form utk reset, sekelas pertamina menggunakan G-Form 🤣(Gratisan) kenapa gak dibuatkan aplikasi khusus. Buruknya lagi sampai detik ini sy tdk pernah dpt notif hasil reset
widya fatmahayati;1;18/03/2023 12:33;Gagal
Indra Sukmana;1;18/03/2023 12:33;Aplikasi Babi, mau beli minyak aja susah kali anjjngg
baleho Melehoy22;1;18/03/2023 12:24;Tolong untuk pemerintah klo memang ingin menerapkan subsidi tolong di bantu proses@., bikin praturan hrs di Bantu proses@... kita jdi agak sulit isi BBM Subsidi solar...untuk PLAT kuning
Didi Rusdan;5;18/03/2023 12:22;Sangat membantu masyarakat menengah kebawah.
Pak Aseplagi;2;18/03/2023 12:12;Pelayanan cukup baik dan operatornya ramah
aditya pratama;1;18/03/2023 11:22;Operator SPBU nya kurang tata Krama banget wkwk
Suratman Gojek;5;18/03/2023 11:06;Sangat membantu & memberi kemudahan bagi rakyat kecil
Martupa Sidebang;5;18/03/2023 11:01;Mantap
Alien Fahlevi;1;18/03/2023 10:27;KALAU G BISA BIKIN APPLIKASI SEENGGAKNYA JANGAN DI PAKSAKAN!!! CARI UNTUNG DOANG TPI GA MIKIR KEDEPANNYA
Herukurnia Sandi;1;18/03/2023 10:27;Padahal kami beli bukan maling kok dipersulit, dengan alasan Poto STNK tidak terbaca
Dasirul irul;5;18/03/2023 10:23;oke
Yogi Sulistio;1;18/03/2023 09:31;Map masih ngebug
KECOA Channel;1;18/03/2023 09:21;Aplikasi asu dan admin nya tolol, mempersulit rakyat namanya begini
Mardalena Yusbar;1;18/03/2023 09:06;Ntah apo apo se buek buek ko
Pacarnyaaku Official;5;18/03/2023 09:00;Okeee
Pipit Rahmadie;5;18/03/2023 08:59;Mantap
Sulestra Ginting;1;18/03/2023 08:40;Aplikasi tidak jelas
Jonni Reflen;5;18/03/2023 08:37;Mempermudah pengisian bahan bakar
budi permana;1;18/03/2023 08:29;Menyusah kan masyarakat
Tangga Hitam;1;18/03/2023 08:09;Mau top Up aja Repot, Harus pake link aja Tidak efektif
Budi Hariyanto;1;18/03/2023 07:45;Bikin aplikasi buruk sekali..
Wen Cedo;1;18/03/2023 06:31;Mempersulit 😃
DN Channel;1;18/03/2023 04:58;Tidak ada pilihan untuk mobil yang sedang proses mutasi sedangkan proses mutasi lama udah mau 1 tahun belum jadi2, beli solar di spbu di tolak belum ada QRnya, trus kenapa yang jualan eceran solar bisa beli?????????sekelas Aplikasi milik Plat merah seperti ini, tidak ada jawaban dari admin?
Joni Agung Syahputra;1;18/03/2023 04:45;ga bisa upload data
agus zainuddin;1;18/03/2023 04:41;Saya coba
Muhtar Muhtar;1;18/03/2023 03:49;Ok
Saiful Arif;5;18/03/2023 03:48;Siiip
Heri Wibowo;5;18/03/2023 02:45;Mantab
Dony Handoko;1;18/03/2023 02:26;Bintang berbicara
Edi Tumen;5;18/03/2023 02:15;Baik sekali
Dimas Agung prassetyo;1;18/03/2023 02:08;Taik, mau daftar susah kali. Ngisi minyak padahal bayar, tapi mau daftar malah di persulit. Eeeee bodat gak guna
selamat selamat;4;18/03/2023 02:07;mabtab
putra desa;5;18/03/2023 02:02;TOP
Anugrah Setya;1;18/03/2023 01:59;Software Ampas
A o;1;18/03/2023 01:26;Sebenarnya bikin susah masyarakat tidak semua orang paham terhadap ini, apalagi orang yang tinggal di desa, atau orang yang kurang paham teknologi, kasian masyarakat pedagang kecil yg bekerja, berjualan, sopir, dengan mobil malah jadi ribet
Eni Nur Aeni;5;18/03/2023 01:03;Pertamina supaya menyisihkan sumbangan dana untuk pembangunan gedung pendidikan MDTA Al-Falah juntikeboon kecamatan Juntinyuat. Terimakasiih
Mr Sam Mukhalis;1;18/03/2023 00:45;Sudah daftar, sudah login Tp kode verifikasi ga masuk2 jg ke email Padahal email sudah sesuai banget
Indra Saputra;1;17/03/2023 23:11;Ribet ribet
Ani Kuswati;1;17/03/2023 18:01;"Kuota masih banyak internet lancar tp aplikasinya nggak kebuka"" dari 1 Minggu Tolong dong yg buat aplikasi di perbaiki lagi aplikasinya"
Ardin MeuraxaMunthe;1;17/03/2023 17:50;Apk dan program ny hanya buat susah masyarakat
Abdil Muhaimin;5;17/03/2023 17:15;Mantap
Agus Nugroho;1;17/03/2023 15:37;Aplikasi nya bertele tele banget.. Buat yg simpel aja ngapa ngab
arnold siahaan;1;17/03/2023 14:16;Mau bayar pakai link bolak balik gangguan server
iyang dzihan;1;17/03/2023 13:51;Aplikasi gak bisa di pake. Udh d daftar, muncul QR nya, wktu d scan gk bisa..
Kamidin KamidinQiya;5;17/03/2023 13:35;Oky
Syahrial Heri;1;17/03/2023 13:29;EGK BERGUNA
Dino Rianata;5;17/03/2023 12:47;Mantap
Zero Zz;1;17/03/2023 12:45;Barcode error' terus padahal barcode baru
ayra nada;1;17/03/2023 12:42;tidakjelas..hanya bolakbalik
Mohsa Gmt;1;17/03/2023 12:36;Saya sudah berhasil daftar subsidi tepat dan mendapatkan qr code buat beli pertalite lewat google chrome. Tapi di aplikasinya malah disuruh daftar lagi,tidak bisa mendapatkan qr codenya. Jadi kalo beli pertalite saya hanya memperlihatkan screenshot qr code saya. Pertanyaan saya aplikasi ini fungsinya apa?apakah hanya untuk promosi link gopay dll saja?sama sekali tidak membantu aplikasi ini.
Afdal Tanjung;3;17/03/2023 12:30;Oke
Asep azza;5;17/03/2023 11:34;Ok
Heru Umbara;1;17/03/2023 11:33;Setelah di updates bukan makin baik. Malah tambah jelek. Aplikasi ga bisa dibuka sama sekali. Antrian panjang. Saat buka aplikasi ga bisa. Kan suek. Terpaksa antri ulang di jalur cash
Bunyunk J.M;1;17/03/2023 10:55;Katanya muda dan cepat tapi kode verifikasinya tidak muncul muncul... Bukannya memudahkan malah mempersulit... Merugikan banyak orang karna mau isih bbm jadi tidak bisa... Juga mengganggu pekerjaan orng karna cara pendaftarannya lama
Duri Duri;1;17/03/2023 10:36;Apk nya membingungkan suda di isi semua data, TPI GK ada notif sudah terdaftar atau belum,,, padahal suda menunggu 1 Minggu,,,🥵🥵🥵
M Alfin M alfin Adit;5;17/03/2023 10:34;Ini sangat memudahkan untuk pembelian bbm
Puji ayu Astutik;1;17/03/2023 10:24;Mau login tapi kode gak masuk2 ke email. Di tungguin seharian gak masuk. Padahal mau awalnya masuk pemberitahuan kalo stnk tidak terbaca, setelah mau perbaiki dan mau login tapi tidak ada kode masuk ke email. Berarti kan aplikasinya yg error bukan emailnya yg salah. Bikin emosi aja. Gak ngertiin kebutuhan masyarakat. Harus bolak balik ke pom buat ngisi solar. Ngisi nya cuma bisa 10 liter kalo gak pakek code..
Julis Man;4;17/03/2023 10:09;Semoga aplikasi ini berjalan lancar untuk selanjutnya.
Caberawit Xasem;5;17/03/2023 10:02;Opsional
Yusran Jalil;5;17/03/2023 09:36;Tak bagus
Ahmadi Sh;5;17/03/2023 09:01;Bermanfaat
Heriansyah Idris;5;17/03/2023 08:49;Aplikasi No kendaraan kita dipakai oleh pengguna yg lain..kendaraan kami beli second
Mas Udi;5;17/03/2023 07:56;Aplikasi my pertamina the best
ilunk komeng;1;17/03/2023 07:50;Aplikasi menjengkelkan lah .. ribet banget, apalagi bagian password atau Sandi .. buat sandi sendiri aja gak dibolehin, harus mengingat sandi yg disarankan .. dikira item nya cuma 5 biji .. pengen pake yg non subsidi, di deket rumah gak ada ..
David Sihombing;5;17/03/2023 07:22;Ok
Muhammad Taufik;5;17/03/2023 06:42;Daftere aggel kode gk lihat di email
Syukron Parker Junior;1;17/03/2023 06:38;Ribett bangetttt
R. wijaya;5;17/03/2023 05:49;Bagus
Teuku Ammir;1;17/03/2023 05:45;Aplikasi kontool...
