content;Sentimen
Buat aplikasi masih banyak bug dan kalo masih blm siap jangan coba cobalah malah bikin ribet aja;Negatif
Semoga tepat guna dan semoga selalu ada BBM nya;Negatif
Baik;Positif
Mohon untuk diperbaiki lagi aplikasinya, Ini sangat, sangat menyulitkan kami. Metode pembayaran yang hanya aktif linkaja, metode lain tidak bisa, lalu untuk apa kami d beri pilihan pembayaran lain tetapi tidak bisa kami gunakan..pd saat kami mau mengaktifkan linkaja kesulitan, kami tidak bisa memasukan datanya. Tolong untuk yang membuat ide kebijakan ini pertimbangkanlah kembali untuk kami yang didaerah, tidak semua orang melek teknologi. Semoga bisa lebih baik lagi kedepannya.;Positif
Terima kasih;Positif
Kenapa harus pakai linkaja sebagai pembayaran utama e-money di sini? Padahal masih banyak pilihan lain.;Negatif
Sudah mau seminggu tidak bisa di pakai aplikasinya, mau login saya tidak bisa.;Negatif
Bagus;Positif
Susah daftarnya. Blibet beneerr;Negatif
Mohon bantuannya setiap orang yg mendaftar agar di lulus verifikasikan data my pertaminanya dan d luluskan barcodenya;Negatif
Sangat buruk.. yg buat aplikasi mgkin lulusan SD.. ribet log in nya..;Negatif
Semoga cepat sadar;Negatif
Kaga jelas hubungkan pembayaran gabisa bisa;Negatif
Sangat bagus;Positif
Sangat butuk, no pol kendaraan di pakai oleh orng yang tidak bertanggung jawab, jadi ketika ingin mengisi pertalite, dinyatakan sudah habs di pakai oleh oknum. Terima kasih;Negatif
Aplikasi sangat buruk , kalo ga niat colab ga usah colab su;Negatif
Sangat buruk sekali jauh banget dibawah aplikasi bikinan tukang ojeg;Negatif
Assalamualaikum wr.wb Selamat malam semua Apk ini sudah menguji kesabaran saya.sata sudah menunggu selama 3 hari tetapi kodenya juga TDK masukmasuk.apakah ada kendala atau bagaimana, bagaimana caranya mau jalan mobil kalo tidak ada barcode dikasikan ki.tambah susah ji saja hidup kalo hegini;Negatif
apk mengontolll;Negatif
Mau claim barcode ga bisabisa dibilang password salah padahal uda bener, lol;Negatif
aplikasi macam apa ini bukannya memudahkan malah mempersulit masa verifikasi data pengguna aja lebih dari 1 hari rusak kita rusak punya kita setoran ga ada;Negatif
Bikin rakyat susah!;Negatif
Susah di akses;Negatif
Pembayan gagal terus padahal saldo ada, diulangi sampe 5 kali pun ttp ga bisa.;Negatif
Tidak bisa Login app abal abal;Negatif
Aplikasi bagus walaupun data udah masuk akan tetapi barcode blm juga muncul;Negatif
Mengecewakan;Negatif
Kenapa kode invalid terus. Susah 3x masuk di email masih gak bisa masuk. Invalid terus keterangannya;Negatif
Tdk bisa berkata kata;Negatif
Isi bensin antri lama setelah harus scan QR, semakin modern bukannya semakin maju dan semakin simpel, malah semakin ribet;Negatif
Semoga makin berkembang..tradisi antri di sulbar daerah campalagian oleh pa lansir pertalite tidak terjadi lagi.yg meresahkan masyarakat..;Positif
Aplikasi sowak;Negatif
Mantap;Positif
Ribet;Negatif
Jelek kali aplikasi nya bolak balek daftar ga bisa. Padahal Poto nya semua udah jelas. Mau isi BBM aja dipersulit. Belik loh bukan mintak.oke lah mau maju negara Ini pake aplikasi tapi aplikasi nya juga tolong jangan buat ribet masyarakat pak;Negatif
Sangat baik;Positif
Good;Positif
Aplikasi gk jls nth dmn liat barcodenya uda d daftar pun d kotak katek pun nth dmn letaknya. Membingungkan;Negatif
Bagus sangat membantu orang yg kurang mampu;Positif
Ruwet bilang aja kalau belum siap. Pakai aplikasi ribet mau liat barkot sendiri sulit hadehhhhh;Negatif
Aplikasi gak jelas.. tetap bintang 1 . Aplikasi penipu;Negatif
Mantap;Positif
Cacat Dev amatiran;Negatif
Sulit;Negatif
Lancar;Positif
Semoga harga bbm bisa turun;Positif
Sulit untuk mendaftar ke menu subsidi bbm. Selalu gagal karena alasan foto stnk tidak bisa terbaca. Padahal sudah upload foto stnk dengan sangat jelas. Menyusahkan!!!;Negatif
Ok siip;Positif
ýyy6;Negatif
sangat membagongkan;Negatif
Apaan begini , Sudah di instal , giliran untuk di buka aplikasi nya tidak bisa;Negatif
Good jobs;Positif
Aplikasi ga berguna menyusahkan;Negatif
Terima kasih;Positif
Ga user friendly;Negatif
Pengen serba digital. Tpi aplikasi tidak mendukung. Ruwet;Negatif
Gak jelas anjeng Uda di masukin kode yg di kirim lewat email tetap gagal;Negatif
Ok;Positif
Nyari duit dari jualan aplikasi;Negatif
Rakyat susah ....aplikasi untung doble doble kalo per liter 5000 mah ga majalah...;Negatif
Semoga menjadi yg terbaik dalam pelayanan;Negatif
Sering error;Negatif
Astagfirullah ribet banget ini aplikasi nya.....fenomena rakyat kecil makin susah 🤐😥;Negatif
Baru mau coba;Positif
Perusahaan kelas dunia tapi aplikasi nya jelek banget tidak user interface, aplikasi di buat cuma sekedar nya saja bukan untuk memutus penjualan minyak secara ilegal;Negatif
Mantap;Positif
Ok;Positif
Di Aceh barcode sudah berlaku, tp aplikasi belum update 😱;Negatif
Mantap;Positif
Mungkin pertamina bisa bljr dr beberapa bumn yg relevan tidak ngasal bikin aplikasi mau log susah sms notif tdk muncul daftar bbrpa x gagal terus tolong di buat simple maju terus indonesia jgn nyusahin rakyat;Positif
menghubungkan ke linkaja susah banget;Negatif
mantab;Positif
Isi Data belum selesai krna kendala jaringan, begitu mau daftr lagi sdh tdk bisa, nik sudah digunakan katanya;Negatif
Oke gennn;Positif
Plat nomor mobil saya dipakai oleh orang lain. Padahal mbl saya bensin tp terdaftar biosolar.;Negatif
Yang ga bisa log in, mending download yang versi lama cari aja di google, kalau versi skr pasti g akan bisa log in;Negatif
Ruuuweeeetttt;Negatif
Saat hujan gak bisa.. malem Minggu di tanya bisa enggak ke petugas spbunya dari 2 SPBU yg berbeda gak bisa.. bisanya cash. Trus apa gunanya?;Negatif
Keren;Positif
Mohon untuk dapat mengganti nomor telephone, minimal 90hari sekali;Negatif
Ruweeetttt ribeetttt maraiii mumettt aee;Negatif
Perbaiki sistemmu bos. Password claim tidak mau terisi;Negatif
Bad Apps, Sy seorang IT saja merasa aplikasi ini sangat tdk membantu, rumit, apalagi org yg awam. Dari awal aplikasi ini muncul sy tidak pernah berhasil daftar, terakhir sdh hampir berhasil, muncul ket nopol sdh digunakan, padahal pendaftaran sy tdk pernah berhasil. Sy ajukan komplain ke call center 135 diarahkan utk mengisi g-form utk reset, sekelas pertamina menggunakan G-Form 🤣(Gratisan) kenapa gak dibuatkan aplikasi khusus. Buruknya lagi sampai detik ini sy tdk pernah dpt notif hasil reset;Negatif
Gagal;Negatif
Aplikasi Babi, mau beli minyak aja susah kali anjjngg;Negatif
Tolong untuk pemerintah klo memang ingin menerapkan subsidi tolong di bantu proses@., bikin praturan hrs di Bantu proses@... kita jdi agak sulit isi BBM Subsidi solar...untuk PLAT kuning;Negatif
Sangat membantu masyarakat menengah kebawah.;Positif
Pelayanan cukup baik dan operatornya ramah;Positif
Operator SPBU nya kurang tata Krama banget wkwk;Negatif
Sangat membantu & memberi kemudahan bagi rakyat kecil;Positif
Mantap;Positif
KALAU G BISA BIKIN APPLIKASI SEENGGAKNYA JANGAN DI PAKSAKAN!!! CARI UNTUNG DOANG TPI GA MIKIR KEDEPANNYA;Negatif
Padahal kami beli bukan maling kok dipersulit, dengan alasan Poto STNK tidak terbaca;Negatif
oke;Positif
Map masih ngebug;Negatif
Aplikasi asu dan admin nya tolol, mempersulit rakyat namanya begini;Negatif
Ntah apo apo se buek buek ko;Negatif
Okeee;Positif
Mantap;Positif
Aplikasi tidak jelas;Negatif
Mempermudah pengisian bahan bakar;Positif
Menyusah kan masyarakat;Negatif
Mau top Up aja Repot, Harus pake link aja Tidak efektif;Negatif
Bikin aplikasi buruk sekali..;Negatif
Mempersulit 😃;Negatif
Tidak ada pilihan untuk mobil yang sedang proses mutasi sedangkan proses mutasi lama udah mau 1 tahun belum jadi2, beli solar di spbu di tolak belum ada QRnya, trus kenapa yang jualan eceran solar bisa beli?????????sekelas Aplikasi milik Plat merah seperti ini, tidak ada jawaban dari admin?;Negatif
ga bisa upload data;Negatif
Saya coba;Positif
Ok;Positif
Siiip;Positif
Mantab;Positif
Bintang berbicara;Positif
Baik sekali;Positif
Taik, mau daftar susah kali. Ngisi minyak padahal bayar, tapi mau daftar malah di persulit. Eeeee bodat gak guna;Negatif
mabtab;Positif
TOP;Positif
Software Ampas;Negatif
Sebenarnya bikin susah masyarakat tidak semua orang paham terhadap ini, apalagi orang yang tinggal di desa, atau orang yang kurang paham teknologi, kasian masyarakat pedagang kecil yg bekerja, berjualan, sopir, dengan mobil malah jadi ribet;Negatif
Pertamina supaya menyisihkan sumbangan dana untuk pembangunan gedung pendidikan MDTA Al-Falah juntikeboon kecamatan Juntinyuat. Terimakasiih;Negatif
Sudah daftar, sudah login Tp kode verifikasi ga masuk2 jg ke email Padahal email sudah sesuai banget;Positif
Ribet ribet;Negatif
"Kuota masih banyak internet lancar tp aplikasinya nggak kebuka"" dari 1 Minggu Tolong dong yg buat aplikasi di perbaiki lagi aplikasinya";Negatif
Apk dan program ny hanya buat susah masyarakat;Negatif
Mantap;Positif
Aplikasi nya bertele tele banget.. Buat yg simpel aja ngapa ngab;Negatif
Mau bayar pakai link bolak balik gangguan server;Negatif
Aplikasi gak bisa di pake. Udh d daftar, muncul QR nya, wktu d scan gk bisa..;Negatif
Oky;Positif
EGK BERGUNA;Negatif
Mantap;Positif
Barcode error' terus padahal barcode baru;Negatif
tidakjelas..hanya bolakbalik;Negatif
Saya sudah berhasil daftar subsidi tepat dan mendapatkan qr code buat beli pertalite lewat google chrome. Tapi di aplikasinya malah disuruh daftar lagi,tidak bisa mendapatkan qr codenya. Jadi kalo beli pertalite saya hanya memperlihatkan screenshot qr code saya. Pertanyaan saya aplikasi ini fungsinya apa?apakah hanya untuk promosi link gopay dll saja?sama sekali tidak membantu aplikasi ini.;Negatif
Oke;Positif
Ok;Positif
Setelah di updates bukan makin baik. Malah tambah jelek. Aplikasi ga bisa dibuka sama sekali. Antrian panjang. Saat buka aplikasi ga bisa. Kan suek. Terpaksa antri ulang di jalur cash;Negatif
Katanya muda dan cepat tapi kode verifikasinya tidak muncul muncul... Bukannya memudahkan malah mempersulit... Merugikan banyak orang karna mau isih bbm jadi tidak bisa... Juga mengganggu pekerjaan orng karna cara pendaftarannya lama;Negatif
Apk nya membingungkan suda di isi semua data, TPI GK ada notif sudah terdaftar atau belum,,, padahal suda menunggu 1 Minggu,,,🥵🥵🥵;Negatif
Ini sangat memudahkan untuk pembelian bbm;Positif
Mau login tapi kode gak masuk2 ke email. Di tungguin seharian gak masuk. Padahal mau awalnya masuk pemberitahuan kalo stnk tidak terbaca, setelah mau perbaiki dan mau login tapi tidak ada kode masuk ke email. Berarti kan aplikasinya yg error bukan emailnya yg salah. Bikin emosi aja. Gak ngertiin kebutuhan masyarakat. Harus bolak balik ke pom buat ngisi solar. Ngisi nya cuma bisa 10 liter kalo gak pakek code..;Negatif
Semoga aplikasi ini berjalan lancar untuk selanjutnya.;Positif
Opsional;Positif
Tak bagus;Negatif
Bermanfaat;Positif
Aplikasi No kendaraan kita dipakai oleh pengguna yg lain..kendaraan kami beli second;Negatif
Aplikasi my pertamina the best;Positif
Aplikasi menjengkelkan lah .. ribet banget, apalagi bagian password atau Sandi .. buat sandi sendiri aja gak dibolehin, harus mengingat sandi yg disarankan .. dikira item nya cuma 5 biji .. pengen pake yg non subsidi, di deket rumah gak ada ..;Negatif
Ok;Positif
Daftere aggel kode gk lihat di email;Negatif
Ribett bangetttt;Negatif
Bagus;Positif
Aplikasi kontool...;Negatif
Aplikasinya gak jelas. Saya login di web mypertamina aman aman aja sandi dan nik saya benar. Pas login di Aplikasi sandi saya salah padahal gak ada yg salah sama sekali. Ini sebenarnya kebijakan apak kesusahan?? Atau yg memeriksa data rabun yah?;Negatif
Apk sampah;Negatif
Ok;Positif
Aplikasi nya bodoh kali..bukanya mempermudah masyarakat kecil..malah yang ada mempersulit masyarakat..;Negatif
Aplikasi sering gak bisa di buka. Tiap mau di buka loading aja. Udah 1 minggu ini bermasalah. Udah di update masih loading. Udah brp kali mau ngisi pake aplikasi gak kebuka. Ngerasa kek di prank udah ngantri pas mau bayar apk bermasalah;Negatif
Saya tidak percaya dengan aplikasi ini. Sangat buruk. Pertamina gk ada tanggapan?;Negatif
Aplikasi yg saat buruk.... Yg perna ada.. Tekan lanjutan tidak bisa...;Negatif
aplikasi belum layak digunakan, tapi dipaksakan digunakan. Banyak ahli IT di indonesia, tapi kalah sama permainan proyek.;Negatif
Baik;Positif
Aplikasi tidak bekerja dengan baik,bikin ribet buat isi BBM;Negatif
Perlu perbaikan,karena kadang susah dibuka;Negatif
Halo pertamina, pertamina itu prusahaan BUMN ya ! Sya ingin mnyampaikan bahwa kebijakan ini mmang cukup bagus tpi dibalik kebijakan ini apakah ad dri pihak elite pertamina memikirkan dampak negatif bagi masyarakat..??? Biar saya smpaikan dan kalo tdk prcaya tlong cek ke lapngan...masyrakat indonesia mayoritas memiliki kendraan roda dua, kebnyakn mengisi bbm d penjual eceran or pertamini..dan harganya itu rp13.000,00/liter dn ad yg lebih..tlong trtibkn saja harga bbm eceran terutama yg pertamini.;Negatif
Aplikasi nya tidak praktis ...;Negatif
Gara gara aplikasi yang lama yang kasih barcode ini, isi petalitepun susah. Entah kebijakan apa la seperti ini.;Negatif
Aplikasi dari BUMN kok main-main;Negatif
Waktu mau download javHD speed unduh lambat tolong di perbaiki lagi;Negatif
bagus;Positif
Ribet;Negatif
Oke;Positif
Goood;Positif
Ga jelas bkin ribet. hapus aja bbm subsidi, Pejabat tambahin lagi insentifnya;Negatif
Buruk;Negatif
Aplikasi rusak udh Nemu kode verifikasi malah gagal kocak kode dari situ kok gagal;Negatif
Bagus;Positif
Terlalu ribet dan gak berpaedah;Negatif
Aplikasi apaan ,katanya suruh dowenload ,tp susah ,aplikasi paling merugikan;Negatif
Tambahkan notifikasi bila barcode/no polisi digunakan untuk beli produk & lokasi spbu .. tunjukkan sisa alokasi;Negatif
Bingung mau komen apa lagi. Pokoknya ini sangat menyusahkan!!!!!!!;Negatif
Berbelit belit QR tak dapat;Negatif
Ribet ga jelas,bikin macet aja...ngisi sendiri yg ga tau cara nya tumpah;Negatif
Cukub bagus;Positif
Ora kanggo gawe😫;Negatif
Ok;Positif
Mantap banget;Positif
Ko di komen nya minus semua sih ? Wkwkwkwk. Bikin peraturan yang mudah aja untuk di lapangan. Semua tergantung petugas SPBU nya juga kadang udah ada begini aja mobil mewah masih ada yang isi subsidi harusnya di perusahaan SPBU nya yang harus tegas bukan semuanya kena imbas;Positif
Tolong di perbaiki lagi sistem aplikasi karena tidak terhubung pembayaran link aja;Negatif
App bulet gk guna;Negatif
Aplikasi tidak bisa sudah disi yang kluar password and nik salah;Negatif
Hshsua;Negatif
Apk jelek su verifikasi ma bilang belom tahu lai apk rusak;Negatif
Aplikasinya terlalu buruk.. 10 kali lebih upload foto selalu ditolak dengan alasan tak terbaca.. ambil dari galeri terlalu besar ukuran file.. jaman serba mudah ini apk malah sebaliknya🤦;Negatif
Kenapa tidak bisa daftar bbm subsidi;Negatif
Bagus;Positif
Tolong dibuat kan juga, lupa email;Positif
ga guna sumpah, ribet, nyusahin rakyat kecil !;Negatif
Aplikasi terhenti saat registrasi;Negatif
aplikasi sampah cocok untuk pengguna sampahh;Negatif
Burik;Negatif
Saya ud daftar ud pun lengkap info nya KTP dan plat tidak terdaftar.yg bener aj mypertamina.selam ini saya bayar pajak bisa;Negatif
payah;Negatif
Sumpah gak bermanfaat banget aplikasinya, bukannya mempercepat malah memperlambat. Nyusahin ajq dari td;Negatif
Mantap;Positif
Mantap;Positif
Aplikasinya mantaf;Positif
Mantapp;Positif
Apk nya berguna;Positif
Mantap;Positif
Aplikasinya berguna sekali;Positif
Mantap;Positif
Bagus;Positif
Pertamina Juara;Positif
Juara;Positif
Mantap;Positif
Juara mantap;Positif
Rakyat makin dibikin susah;Negatif
Terbaik;Positif
aplikasi nyusahin, sering eror.... gak mutu.... belum lagi harus pakai apk link aja untuk pembayarannya. sama sama sering eror servernya.;Negatif
Sangat membantu dan memudahkan;Positif
Aplikasi ok;Positif
Apk nya bagus;Positif
My pertamina mantaaaaaapppp;Positif
Mantap cuy;Positif
Aplikasi gathell sangat menyusahkan masyarakat kecil ,,daftarnya aja rumit;Negatif
Mantap;Positif
Sangat bagus;Positif
Bagus;Positif
Mantap;Positif
Bagus;Positif
bagus;Positif
Apk bagus;Positif
Gass keun;Positif
Bagus;Positif
Ok;Positif
Apk nya bagus;Positif
Mantaps bgt;Positif
Aplikasi tolol.... kami beli minyak pakek uang sendiri bukan uang pertamina;Negatif
Aplikasinya bagus;Positif
Mantap bagus;Positif
Aplikasi yg sangat sulit di gunakan..sdah daftar subsidi tepat tpi gak bisa diakses gk dapat code nya...diupdate hanya bungkusnya aja dalemanya sama aja developernya kacangan gak ada respon;Negatif
Aplikasinya mantab;Positif
Terbaik;Positif
Aplikasi mantap;Positif
Pertamina sangat mantap;Positif
Mantap 👍;Positif
Pertamina layanan nya bagus dan terbaik;Positif
Aplikasi mantap;Positif
mantap;Positif
Sip lah;Positif
Bagus;Positif
Aplikasi nya memudahkan;Positif
Aplikasi matap;Positif
App sangat menantu;Positif
Mantap;Positif
Aplikasinya mantap;Positif
Aplikasinya bagus dan memudahkan untuk transaksi nontunai;Positif
Mantap;Positif
Mantap;Positif
Mantap;Positif
Aplikasinya mantap;Positif
Apkny mantul;Positif
Mantap;Positif
Oke mantaps;Positif
kontolll error mulu;Negatif
Muantabs lah;Positif
Lumayan dapat cashback, tapi sekarang jarang ada cashback🥲;Positif
Sulit. Tolong untuk pertamina . Untuk solar jangan ada pengurangan pasokan. Rakyat kecil jadi susah;Negatif
Mantul pertamina;Positif
Susah mendapatkan barcod nya...bikin ribet;Negatif
Aplikasi kntol;Negatif
Is the best;Positif
Tidak pernah mendapat respon dari pertamina , email pun tak pernah ada yg diterima;Negatif
Aplikasi mengecewakan;Negatif
Ribet Bikin Macet saat isi BBM, kurang Simple Aplikasinya, Asli Ribet..👎👎👎 pemakaiannya;Negatif
Bagus banget;Positif
Aplikasi gak guna.. Capek2 kita bayar pajak juga, mau isi bbm pun harus pakek aplikasi.. Aplikasi jahanam;Negatif
Apk gak lengkap gda pelacak atau history pengisian, masak saya hari ini belum ada isi sma sekali saldo nya 0 apa apan tu kaya gtu, klo mmng mau buat rakyat menderita gak gni caranya...;Negatif
Mantap;Positif
Agak repot;Negatif
Bukan nya mempermudah malah mempersulit kalo emang mau simple gampang pliss ni aplikasi bnerin dulu pengoprasian nya bikin stresss aja . Musingken !;Negatif
Verifikasinya sangat lama Bukannya mempermudah Malah mempersulit keadaan di jalan lintas tidak ada signal;Negatif
Ini aplikasi terjelek yang pernah saya temui ..sudah hampir 3bulan daftar tidak ada repson apa2..dan sangt berbelit..sdh cocok dengan slogan klo bs dipersulit kenapa dibuat mudah.;Negatif
Aplikasi buruk banget katanya harus pake aplikasi kalo mau isi bbm macam mana bisa isi bbm kode verivikasi ga muncul2 di tambah petugas pertamina yg kurang ramah bukannya bantuin gimana cara daftar malah suruh daftar lagi wkwkwk;Negatif
APLIKASI SAMPAH GA BERGUNA🤡;Negatif
BUMN anggaran ny gede tapi bikin aplikasi kayak gini... Gak layak;Negatif
Mantap agar bbm bersubsidi tepat sasaran;Positif
Tidak ada daftar SPBU yang telah menerima payment e-wallet dan fitur lokasi nya masih kurang akurat serta perlu menambah jumlah SPBU yang bisa dilakukan payment e-wallet.;Negatif
Aplikasi terburuk;Negatif
APK yang sangat bermanfaat bagi para pengendara;Positif
Bel berhasil terdaftar;Positif
Goog;Positif
Aplikasi buruk;Negatif
Ok👍;Positif
Mmg buat susah aj... aplikasi gak jelas;Negatif
Krna kbnyakan sopir kurang paham buat daftar, tpi bbm butuh banget buat klngsungn mncri nafkah, jdilh ddftarkn oleh pekerja pom bbm. Alhasil kuota jatah subsidi disalahgunain mreka. Kuota harian milik sopir brkurang. Ada data pngisian yg tidak dlkukan pmilik kndaraan/sopir. Sdngkan sopir tdk pham mngubah barcode;Negatif
Pukimakmu lah aplikasi bujang;Negatif
Kenapa punya saya gak bisa di buka bos;Negatif
Sush daftarnya;Negatif
Dari sini kita jadi tahu bahwa Pemerintah harus mempersulit rakyat dalam mendapatkan jenis BBM bersubsidi;Negatif
Tlng diperbaharui aplikasinya kurang simpel, terlalu berbelit2;Negatif
Good;Positif
APLIKASI PALING BURUK MILIK PEMERINTAH. GUE AJARIN LU SEMUA DISITU CARA BIKIN APLIKASI. ADMINISTRASINYA JG LAMBAN, NUNGGU VERIFIKASI 14 HARI. WOY LU DIGAJI BUKAN BUAT JD LELET.;Negatif
Ngga bisa di pakai di banyak SPBU di semarang;Negatif
Joosss;Positif
Sy sudah daftarkan akun tp knp slalu tdk bisa saat meminta kede barcob.dan nik atau pasword anda salah ....bagaimana ini mypertamina;Negatif
Mantap kali aplikasi nya dek;Positif
Aplikasi banyak bug,;Negatif
Gak usah ngadi ngadi bikin aplikasi kek ginian. Selesai daftar, mau login di website nya, katanya NIK/PASSWORD salah. Ente mau ngibul? Ngotak ngapa cok... Kagak ditanggepi berarti ini aplikasi bot, bot kagak punya otak...;Negatif
Sangat Merepotkan;Negatif
Bagus;Positif
Bagus dan saya sdh memakainya 😂. Kendala ada di lapangan, wkt proses pengisian (pembelian) BBM lbh lama (antri) 😔;Positif
bagus mantab;Positif
Sbagai nelayan/tukang tmbalban susah dpat subsidi apalagi pembelian pake jerigen besi sekarang udah d tolak, aplikasi gagal melulu..;Negatif
nunggu konfirnya lama. padahal sdh terdaftar.. mohon my pertamina dipermudah.. terima kasih;Negatif
Aplikasi sangat buruk dan jelek;Negatif
Sangat membatu;Positif
Kenapa harus 14 hari kami tersangkut data dan tidak bisa isi BBM hanya untuk mendapatkan barkode dan kenapa data salah akan susah untuk diperbaiki, apakah pertamina kita sedang baik-baik saja saat ini...?;Negatif
Mau riset pin aja susah.;Negatif
Aplikasi nya sangat bagus, sangat membatu banget kalau mau isi BBM Anti ribet anti lelet.. gak perlu takut kalau lupa bawa uang tunai karena tersambung ke beberapa E-Wallet, plus bnyak promo dan hadiah nya👍👍👍;Positif
Aplikasih sangat membingungkan dan terkesan bolak balik;Negatif
Pendaftaran saya terus ditolak padahal persyaratan sudah lengkap;Negatif
ok;Positif
Wong yo kari install ae kok cek angel men..ndahnian pas d gunakno..aplikasi model opooooooo iki..;Negatif
Selamat atas keberhasilan merepotkan rakyat;Negatif
Taiiii;Negatif
Pelajari dulu ya;Positif
Aplikasi tidak jelas, seharusnya lebih dimudahkan, APLIKASI PALING BURUK, PENGEMBANGAN APLIKASI BURUK;Negatif
Apk ribet, harus pakai nik;Negatif
Buat rumit aaja aplikasi nya ini ntah kayak mana sakit kepala mau daftar aja bingung ntah kek mana buat capek aja sakit kepala;Negatif
Bikin aplikasi ribet amat sudah upload ini itu msh TDK jelas;Negatif
Aplikasi yang membagongkan.;Negatif
Aplikasi ini sangat membantu, tapi kita harus jeli, kayak hari ini aq ngisi bensin, motor paling mahal berpa sih 35 rbu kan, nah d buat 82 rbu, mang tak luput dari kesalahan saya krna tidak d perhatikan, tapi ni bentuk kecurangan baru dari pegawai bukan aplikasi, tolong untuk pegawai yg seperti ini d berikan teguran,;Positif
Aplikasi sialan, isi data ribet bgt !!!;Negatif
Mw daftar aja sdh eror gni,gmn mau maju,hadehhhhhh parah;Negatif
Terlalu ribet .... Bemana klo orang tua yang awam tidak tau Pake android kan ribet;Negatif
ribet;Negatif
Pemerintah gak berakal😂😂;Negatif
Notfikasi sms tidak muncul2...akhirnya bacode enggan timbul diayar hp yah pusing...benahi lagi ahar masyarakat gk bingung;Negatif
Mantap 5 bintang buat admin;Positif
Ok;Positif
Manthappp;Positif
Pengaduan gak di jawab dan nggak ada kejelasan;Negatif
Ok;Positif
Oke;Positif
Masya Allah;Positif
Apk Gak jelas percuma ngisi saldo di sini GK banyak pom yg GK bisa selalu bilang trobel dan error' Pos besar di Sidoarjo dekat alun2 terutama;Negatif
Aplikasi taik... Bikin repot aja, muak sama yg ginian;Negatif
Semoga bermanfaat;Positif
Aplikasinya jelekkkkkkkkkk, saya blm pernah login tp tulisannya nomor sudah terdaftar. Pake nomer lain tp kok kode verivikasinya ga dikirim udh nunggu berjam jam. Udh upload data sampe tahap akhir tbtb kembali sendiri pas balik datanya udh ilang. Pas nyoba masukin pin lg katanya pin udh kedaftar. Sungguh ribetnyaa aturan ini. Aturan bukannya makin buat mempermudah hidup malah makin bikin susahhhh.;Negatif
Mantap;Positif
Ok;Positif
Pasti pas;Positif
Allah.... Apa maksud pemerintah ini /Dirut Pertamina ini. Ke pom suruh daftar.. begitu download apl selalu ada kendala tidak bisa masuk;Negatif
Ribet jalurnya,.harus ini.,harus itu,.ga simpel;Negatif
kalau memang ini di butuhkan maka tolong di permudah dan tidak merugikan pengguna,,dan tolong ya pasa adminya supaya bertanggung jawab,,karna kalau ingin aplikasinya di gunakan maka buatlah aplikasi ini jadi jlas dan membantu,trima kasi,,saya kasi bintang lima supaya aplikasi ini trus di perlancar;Negatif
mantab;Positif
Ok;Positif
Ga guna tau sampah ya ini anjir cape w cok daftar ngulang terus ntah apa subsidi subsidi njnek;Negatif
Good;Positif
Aplikasi yg menyulitkan masyarakat;Negatif
Mau ngeriset data kok susah banget ya.masalahnya punyaku mobil kantor.ganti sopir data saya mau tak riset tapi gimana caranya🤦🤦;Negatif
Ribet.. Gagal terus regestasi;Negatif
Terburuk 👎👎👎;Negatif
Apk nyusahin masyarakat 🖕🖕🖕;Negatif
Jangan maksain bikin aplikasi majukan dlu sdm nya sejahterakan dulu rakyat nya;Negatif
Walaupun sudah pakai barcode masih susah;Negatif
sistem gabisa masuk,aplikasi ga berfungsi;Negatif
"Mustahil data aman Cok , mau ngisi solar aja limit tinggal 13.000 , padahal 4 hari belum ngisi solar tau "" limit, aplikasi telo cok";Negatif
Minimal kalo upload foto bisa dokumen , jadi kalau upload STNK biar jelass tidak pecah hasilnya.;Negatif
Selalu error, log in susah amat, aplikasi belum siap;Negatif
Pusing pake nya;Negatif
Menyusahkan, bbm sering gak ada, aplikasinya gak jelas..;Negatif
Bagus;Positif
Aplikasi makin membantu✖️ Aplikasi makin memperbebani ✔️ Mau pun daftar malah plat polisi tidak tepat dengan Poto STNK padahal udah sama kyknya bukan saya aj yang begini;Negatif
Ok;Positif
Foto STNK sudah jelas tapi keteranganya tidak jelas;Negatif
🤝🏻;Positif
Masukkkk angiinnnn.....!! Memperibettt;Negatif
Aplikasi aneh,buruk sekali. Reset pasword aja nunggu berbulan², ditanya ke admin dan petugas SPBU pun tak ad solusi. Aplikasi gagal. Tidak ad barcode tidak bsa isi BBM;Negatif
Buruk;Negatif
Apk buruk, hanya mempersulit masyarakat kecil. Ribet, yg kasi bintang 5 itu pasti org dalam Kalo mmg bener2 di survey dr masyarakat sudah pasti 99 persen mengeluh, bukan ny mempermudah malah bikin ribet. Kebijakan gk guna buat masyarakat, cuma buat kepentingan yg diatas.. Kalo ada rating tanpa bintang sudah pasti saya milih bintang yg paling bawah dan yg paling buruk biar sama dgn kebijakan dan Apk ny.😒;Negatif
Satu aja dluuu.. sampe bener2 mutakhir. Masak udah berapa kali ngisi bbm, di aplikasi nggak muncul riwayatnya. Lol;Negatif
RUDET!!!! udah daftar, isi ini itu masih ngak di ACC padahal udah 4 bulan di tunggu kode QR tetep ngak keluar nyusahin UMKM! Kerasa kalo keluar kota kirim barang harus berhenti 3x di pom berbeda biar tangki penuh belum lagi kalo di pom antrinya banyak SENGSARA HIDUP GINI AMAT;Negatif
Aplikasi nya gk jelas..diaplikasi kendaraan saya terdaftar tapi barcode nya tidak muncul..;Negatif
TERIMAKASIH! Atas kesulitannya;Negatif
